district,title,community,floor,year,bedroom,living_room,area,price,unit_price
雨花,拎包入住 户型周正 采光楼层贼好 7号线400米,湘樟家园,高楼层,2008,3,1,96.91,95.8,9886
雨花,墅区高层，直观洋房别墅，视野采光一级棒,万科金域华府,高楼层,,4,2,126.6,155,12244
雨花,雨花区政府政府 正地铁口 精装大三房 位置好 楼层好,合能枫丹丽舍,低楼层,,3,2,103.17,115,11147
雨花,居家小三房 满五唯一 沙湾公园地铁口 山姆会员店旁,半山壹号,高楼层,2017,3,2,92.61,122.8,13260
雨花,湖南省水电设计院宿舍 2室2厅 南,湖南省水电设计院宿舍,高楼层,,2,2,74.59,135,18099
雨花,衡器宿舍小区 2室1厅 南,衡器宿舍小区,中楼层,,2,1,58.8,46,7824
雨花,三开间朝南，纯板楼精装4房，25年可过户，地暖加空调,中天星耀城,低楼层,,4,2,141.89,258,18184
雨花,园康星都荟 3室2厅 南,园康星都荟,中楼层,2013,3,2,86.71,96.8,11164
雨花,30多万装修 拎包入住 业主诚心出售 阳光城愉景苑,阳光城愉景苑,低楼层,,3,2,116.74,145,12421
雨花,浏阳河畔，阳光城 新上精装三房 保养很好,阳光城尚东湾,低楼层,2020,3,2,111.73,135,12083
雨花,树木岭 地铁口 低总价电梯两房 拎包入住 购房压力低,惠民锦园,高楼层,,2,1,68.91,49,7111
雨花,近地铁口 城轨口 ，公摊小， 配套全 可以拎包入住,香樟兰亭,低楼层,2014,3,2,88.98,110,12363
雨花,东友星座 1室0厅 南,东友星座,中楼层,2016,1,0,46.98,56,11920
雨花,次新小区 通透大三房 低于小区均价 诚心卖看房方便,天下一家,低楼层,2015,3,2,127.3,104,8170
雨花,好房子 清水毛坯 带车位 钥匙在店 随时可看 诚心出售,明昇壹城,低楼层,2020,3,1,126.86,193,15214
雨花,采光好 精装修20W 舒适两房 房东急售,鼓风机厂宿舍,高楼层,1997,2,1,67.35,50,7424
雨花,五号线板塘冲站森林雅苑三房 德思勤省植物园,森林公园壹号,高楼层,2011,3,2,87.5,81.8,9349
雨花,茂华国际湘 中间位置中间楼层精装大3房 随时看房,茂华国际湘,高楼层,2013,3,2,131.28,145,11046
雨花,圭塘河，风光带，德思勤商圈，雅镜，砂子塘,五矿万境水岸二期,中楼层,2015,1,1,43.03,50,11620
雨花,雨花亭商圈正十字路口朝南两房诚心出售,长城非常生活,中楼层,2009,2,2,98.13,109.8,11190
雨花,正地铁口次新标准1房1厅独立厨卫 全新未入住家电齐全,恒大国际广场,中楼层,,1,1,43.32,43,9927
