district,title,community,floor,year,bedroom,living_room,area,price,unit_price
雨花,双**小区装修好省心省力省钱拎包入住,万家城,高楼层,2011,3,2,118.97,118,9919
雨花,房子高楼层，视野采光好，清水毛坯，纯板楼，得房率高,碧桂园南城首府,高楼层,2019,3,2,119.48,94.8,7935
雨花,1梯1户带车位装修花了40万9.9城新全屋暖气片万科物业,阳光城尚东湾青云苑,高楼层,,4,2,128.06,182,14213
雨花,中间楼层 通透格局 保养很好业主诚心出售万科品质小区,万科魅力之城,高楼层,2014,3,2,123.88,162,13078
雨花,高桥商圈 二环旁 成熟小区 正规三房 户型周正,天下一家,高楼层,2015,3,2,99.0,108,10910
雨花,树木岭 新城新世界三房 不临街 非顶楼 看房提前约,新城新世界一期,高楼层,2013,4,2,162.72,178,10940
雨花,精装好房 业主诚售 中间楼层 视野开阔,佳兆业君汇上品,低楼层,,3,1,109.53,86,7852
雨花,地铁口 装修九成新 首付18w 有电梯,华韵07,中楼层,2007,2,2,76.9,92,11964
雨花,雨花区5号线地铁口300米，2梯2户高楼层，2016年底交房,华银天际C区,高楼层,2016,5,2,174.48,165,9457
雨花,楼层好 采光好 地理位置优越 交通便利 近地铁,几米空间,高楼层,2004,3,2,126.21,95.8,7591
雨花,居家精装 拎包即住 带车位 近地铁口,红星嘉和苑,低楼层,,3,2,95.66,110,11500
雨花,万家城 3室2厅 南,万家城,高楼层,2013,3,2,93.39,84,8995
雨花,满五唯一 带枫树山，劳动西路，近3号线和7号线双地铁,宏泽佳园,低楼层,2009,3,2,91.21,156,17104
雨花,精装三房，户型好安静，看房方便,中建嘉和城,低楼层,,3,2,112.31,117,10418
雨花,小区里very优质的房子，没有之一，不管是价格位置,阳光城尚东湾凌云府,高楼层,,4,2,164.33,189,11502
雨花,满五唯一 7号线地铁口，看房方便，价格可谈,红星嘉和苑,高楼层,,3,2,96.79,105,10849
雨花,阳光城愉景苑阳光横厅大三房，清水毛坯，次新小区,阳光城愉景苑,中楼层,,3,2,116.79,125,10703
雨花,汽车南站天虹旁，次新单位小区诚心卖,西湖鸿运佳苑,中楼层,,3,2,117.57,97,8251
雨花,靠小区里面位置，无遮挡，满五唯一，采光视野好,旭辉香樟公馆,低楼层,2016,2,2,76.67,87.68,11437
雨花,满五唯一 业主诚心出售 户型周正 可以随时看房,兰亭优壳,低楼层,2010,3,2,82.62,90,10894
雨花,三地铁口次新房省个税精装朝南三房中间楼层视野无遮挡,泊爱蓝湾,低楼层,2013,3,2,90.04,105,11662
雨花,近地铁 喜盈门商圈 得房高 次新小区 人车分流,蓝光幸福满庭,低楼层,,3,1,79.3,92.8,11703
雨花,此房阳台多 公摊小 采光充足 视野开阔,城南故事,高楼层,2011,3,2,117.26,116,9893
雨花,带车位 精装修 拎包入住 唯一 楼层好 地铁口 购物方便,博长山水香颐,高楼层,2014,3,2,86.0,81.8,9512
雨花,户型好，环境优美，不临马路观园林,保利大都汇,低楼层,2020,4,2,125.06,195,15593
雨花,长房次新小区 三房两厅 景观视野好 诚意出售,长房半岛蓝湾二期,高楼层,,3,2,113.53,109,9601
雨花,佳兆业水岸新都中高楼层满五唯一前后无遮挡精装三房,佳兆业水岸新都东区,高楼层,,3,2,88.36,63.8,7221
雨花,长房凤凰苑 3室2厅 南,长房凤凰苑,中楼层,2006,3,2,84.81,85,10023
雨花,交通便利上学便利小区环境好精装修户型好，满五唯一,明昇壹城,低楼层,,4,2,138.06,277,20064
雨花,业主诚心出售 中间楼层精装修 看房方便,华达家园,中楼层,2002,3,2,104.48,75,7179
雨花,次新校区，近地铁，精装两房，交通便利，地段成熟,金地格林公馆,中楼层,2017,2,1,78.91,92,11659
雨花,央企品质，次新小区，精装修大四房，急售,中建嘉和城,中楼层,2018,4,2,138.1,170,12310
雨花,2号线地铁口品质小区，南北对流两居室.满五唯一,融科檀香山,低楼层,2011,2,1,77.65,85,10947
雨花,湘核新家园 毛胚4房 视野开阔，采光好 中层,湘核新家园,中楼层,,4,2,176.97,160,9042
雨花,阳光城青云苑精装温馨小三房诚心出售，万科品质物业,阳光城尚东湾青云苑,低楼层,2017,3,2,93.71,110,11739
雨花,左家塘 桂花二村 单价不高两房 诚心出售,桂花社区,高楼层,1992,2,1,56.75,35,6168
雨花,天阔里中间楼层视野好万科物业交通方便自住装修,万科魅力之城,中楼层,,3,2,100.7,150,14896
雨花,电梯房 此房房东急售好楼层出入方便通风性好 采光好,湘农桥社区二区,高楼层,,3,2,123.75,225,18182
雨花,湘府十城 五号线地铁口 精装两房 湘府路城际铁路,湘府十城,低楼层,2014,2,2,79.78,80,10028
雨花,华银天际二期B区 2室2厅 南 北,华银天际二期B区,高楼层,2013,2,2,85.43,68.8,8054
雨花,地铁口居家两房诚心出售随时可看,融科檀香山,中楼层,2011,2,2,88.57,105,11856
雨花,云鼎公馆 3室1厅 南,云鼎公馆,高楼层,2012,3,1,86.39,90,10418
雨花,树木岭！地铁+城铁！ 次新校区,保利大都汇,中楼层,,3,2,111.87,158,14124
雨花,步步高广场 中高楼层 丽发新城 中南国际眼镜城,绿地新都会,中楼层,2018,2,1,76.74,62,8080
雨花,雨花亭，交通便利，配套成熟，业主诚心出售,金地华园,低楼层,2005,4,2,157.26,138,8776
雨花,居家自住温馨小屋，楼层好，采光充足，交通便利。,长房东旭国际,中楼层,2021,3,2,108.21,190,17559
雨花,万科陶然里四房 楼层好安静不吵 近砂子塘 满五唯一,万科魅力之城,中楼层,2016,4,2,125.93,200,15882
雨花,未来七号线，有发展潜力，有红星社区公园 18次新小区,红星国际公馆,高楼层,2018,4,2,143.07,151,10555
雨花,带地暖精装，品牌家电，拎包入住，南北通风，户型周正,保利大都汇,中楼层,2019,4,2,124.98,220,17603
雨花,满五唯一，周正三房，中间楼层有钥匙看房方便诚心出售,三江花中城,低楼层,2008,3,2,124.14,136.5,10996
雨花,次新小区，户型好，采光充足户 ，小区环境安静,中航城,低楼层,,4,2,142.02,170,11971
雨花,清水毛坯，次新小区，户型周正，诚心出售,乐尚城,高楼层,2014,2,2,73.84,82,11106
雨花,银轩铭誉 随时买 业主诚心出售 自己住,银轩铭誉,低楼层,,2,1,84.86,85,10017
雨花,双地铁口精装五房户型好，看房方便,融科三万英尺,低楼层,2006,5,2,198.0,293.8,14839
雨花,大三房+地铁口，业主诚心出售，欢迎带看,融科三万英尺,高楼层,2006,3,1,120.72,183,15160
雨花,中间楼层明卫边户 次新小区 中建物业,中建木莲工社,中楼层,2012,1,1,52.02,39.8,7651
雨花,信和苑四区 2室1厅 南 北,信和苑四区,中楼层,,2,1,75.75,49.8,6575
雨花,沙湾公园 明昇壹城 4号线地铁口 次新小区 环境优美,明昇壹城,中楼层,,3,2,114.52,182.8,15963
雨花,地铁口 省植物园东门 次新小区 位置楼层好,长房明宸府,高楼层,,3,2,99.49,110,11057
雨花,西子花苑 3室2厅 南,西子花苑,低楼层,2007,3,2,133.85,142,10609
雨花,房子户型周正，采光及视野好，次新毛坯房可自由发挥,丽发新城,高楼层,,3,2,113.48,95,8372
雨花,满五唯一，全新精装修，顶楼，看房方便,中建嘉和城,高楼层,,3,2,109.27,128,11715
雨花,配套设施齐全，交通便利，教育资源丰富，三房两厅两卫,合能枫丹丽舍,中楼层,2018,3,2,119.49,148,12386
雨花,"小区中间位置，中高楼层，,地铁口",中建信和城,高楼层,2014,3,2,110.48,177.6,16076
雨花,次新小区，近地铁，配套成熟，交通便利,金地格林公馆,高楼层,2017,3,2,96.46,113.6,11777
雨花,少有三房出售，汽车南站地铁口，红星嘉和苑,红星嘉和苑,低楼层,,3,2,98.45,91.5,9295
雨花,地铁口 次新小区 无遮挡采光好 户型周正,佳兆业湘府熙园,低楼层,,3,2,111.0,133,11982
雨花,次新小区，安静楼层，中间楼层，精装修，拎包入住,绿地之窗,中楼层,2016,4,2,130.06,168,12918
雨花,比亚迪旁 精装三房 视野开阔无遮挡,佳兆业水岸新都东区,高楼层,,3,2,86.91,64,7364
雨花,雨花亭 融橙上品 精装小3房 户型楼层好 带入户花园,融橙上品,高楼层,2009,3,2,90.04,75,8330
雨花,中建品质大盘，优质四房，清水毛坯，钥匙随时看房,中建嘉和城,高楼层,,4,2,130.81,126.8,9694
雨花,次新楼盘，小区环境好，户型周正，采光好。,兰亭优壳,高楼层,2010,2,1,65.21,68,10428
雨花,次新小区2房 安静舒适 生活便利 业主自住装修诚心出售,阳光城尚东湾青云苑,低楼层,2016,2,1,84.72,85,10034
雨花,赤岗冲 金昌花园 自住两房 优价出售,金昌花园,低楼层,,2,2,109.75,85,7745
雨花,户型好 厨房 外 拓 格局好 采光好 视野佳 门口小 学,江河东澜湾,高楼层,2015,3,2,114.73,142,12377
雨花,万科天阔里精装4房，全新未入住，中低楼层，现房,万科魅力之城,低楼层,,4,2,130.0,172,13231
雨花,树木岭 木桥D铁口 5分即达 3房2卫毛坯,世茂璀璨天城,低楼层,2020,3,2,116.67,175,15000
雨花,自住装修，中间楼层，看房方便，7号地铁口旁边。,丽发新城,中楼层,,2,2,78.39,68,8675
雨花,房东诚心出售，近地铁2号线长沙大道站,嘉宇盛世华章,低楼层,2009,3,2,121.02,126,10412
雨花,雨花海关旁边正规大3房，看房随时预约，诚心出售,紫薇鑫园,中楼层,2008,3,2,120.89,89,7363
雨花,江河东澜湾 3室2厅 南,江河东澜湾,高楼层,2015,3,2,114.83,150,13063
雨花,万博汇一房+总价低+交通便利 +诚心出售,万博汇名邸一期,中楼层,2010,1,1,51.13,65,12713
雨花,"次新小区,精装拎包入住,人车分流",长沙平吉上苑,高楼层,,3,2,114.39,160,13988
雨花,华坤时代省植物园5号线地铁口精装修三房,森林公园壹号,高楼层,2011,3,2,128.22,124,9671
雨花,品牌家装 拎包入住 南北通风 户型周正 采光好！,保利大都汇,低楼层,2019,3,2,108.35,155,14306
雨花,明昇壹城 1室0厅 南,明昇壹城,低楼层,,1,0,38.05,76,19974
雨花,周正两房，业主诚心出售，绿化50，看房方便,长沙恒大城,低楼层,2014,2,2,81.2,82.8,10198
雨花,长岭市妇幼，地铁七号线，长塘里，湘雅附二,省外经委宿舍,中楼层,,3,1,91.18,74,8116
雨花,小区中间位置 高层非顶楼 前面视野没有遮挡 采光好,蓝光幸福满庭,高楼层,2016,3,2,84.62,108,12763
雨花,店长力荐 丽发新城地铁口 双书胞在手 首付20个买三房,丽发新城三期,中楼层,,3,2,94.6,83.5,8827
雨花,地铁7号线。居家精装大两房，家电齐全，拎包入住,金领家族,中楼层,2010,2,2,86.54,70,8089
雨花,配套齐全，朝南户型，光线无遮挡，万科物业，绿化好,万科魅力之城,中楼层,2016,2,1,77.0,98.8,12832
雨花,地铁+城铁，树木岭，保利次新大盘！纯毛坯！双阳台,保利大都汇,高楼层,,4,2,125.16,171.5,13703
雨花,中建单位房两套房源打通 实用108平 自住装修,信和苑一区,中楼层,2004,2,2,59.1,32,5415
雨花,汽车南站，洞井商贸城，大三房出售,洞井商贸城,高楼层,,3,2,110.61,59.8,5407
雨花,南城五一广场 网红、时尚聚集地！少有的带燃气两房！,德思勤城市广场,中楼层,2013,2,1,56.87,59,10375
雨花,德思勤 精装两房 交通便利 拎包入住,正旺U公馆,中楼层,2018,2,2,73.62,66,8965
雨花,雨花区合能枫丹丽舍三房两厅两卫 高楼层采光通风好,合能枫丹丽舍,高楼层,,3,2,103.19,110.8,10738
雨花,雨花亭 华银园 砂子塘 优质一房 业主诚售,华银园,中楼层,2006,1,1,37.8,28,7408
雨花,中间栋，安静视野又好，难得好房子,明昇壹城,高楼层,,3,2,105.61,192,18181
雨花,电梯房得房率高朝南户型拎包入住,紫薇嘉园,高楼层,2007,4,2,161.52,139.8,8656
雨花,三地铁口次新房碧桂园物业精装一房万家丽广场视野开阔,碧桂园城市之光,低楼层,,1,1,37.95,48,12649
雨花,自住装修，中间楼层，房东诚心出售,汇金城三期,中楼层,,4,2,131.5,176,13385
雨花,"中建五局单位房周正大两房,看房方便",中建桂苑银桂苑,低楼层,,2,1,101.61,72,7086
雨花,森林城毛坯三房两卫 满五唯一 小区中间位置 楼层好,森林城,高楼层,,3,2,132.26,140,10586
雨花,次新小区，户型方正，中间楼层，采光好,天鸿嘉园,高楼层,,3,2,117.0,93,7949
雨花,青园自住两房七号线正塘坡站中建物业,中建信和城,中楼层,2016,2,2,72.6,115,15841
雨花,合能枫丹丽舍 3室2厅 南 北,合能枫丹丽舍,中楼层,2018,3,2,99.0,118,11920
雨花,2022年次新小区 自住精装未入住 户型周正 诚心出售,阳光城愉景苑,低楼层,2022,3,2,120.0,145,12084
雨花,"小区中间位置，中高楼层，,地铁口,",中建信和城,高楼层,,3,2,87.52,128,14626
雨花,中建楼盘 中建物业1.9 次新小区 中间楼栋 人车分流,中建嘉和城,中楼层,,4,2,125.05,118,9437
雨花,次新小区，门口就是长郡，地铁口,汇金城二期,高楼层,,3,2,89.44,125,13976
雨花,清水毛坯四房 南北双阳台 采光视野好 房东诚心出售,阳光城尚东湾蓝莓苑,高楼层,,4,2,134.92,148.8,11029
雨花,中江国际花城 1室1厅 南,中江国际花城,低楼层,2006,1,1,44.75,46,10280
雨花,有一个车位，自住的装修标准，满五唯一，中间楼层,汇金城三期,高楼层,,3,2,108.19,139,12848
雨花,武广板块，次新小区，通透户型，拎包户型,阳光城尚东湾青云苑,中楼层,2016,3,2,117.46,134.5,11451
雨花,香樟兰亭 4室2厅 南 北,香樟兰亭,低楼层,2014,4,2,122.41,163,13316
雨花,碧桂园精空大三房 业主急售 价格好谈 随时看房,碧桂园南城首府,低楼层,,3,2,112.75,92,8160
雨花,东塘3、7号线双地铁口 雅礼本部 中雅培粹 自住大四房,建鸿达华都,中楼层,2009,4,2,197.64,378,19126
雨花,省植物园5号线地铁居家边户精装修四房,翡翠云天,中楼层,2014,4,2,142.98,164,11471
雨花,满五不唯一，户型周正两居室，双卧室朝南中间楼层,东方名都百草园,中楼层,2006,2,2,79.4,63.8,8036
雨花,莲湖建材市场 4室1厅 西南,莲湖建材市场,高楼层,2007,4,1,145.19,97.8,6737
雨花,中航城次新小区，属于四期。三房两厅一厨两卫。,中航城,低楼层,,3,2,97.79,99.8,10206
雨花,圭塘站双地铁口 电梯房 嘉盛华庭 商圈成熟 自住装修,嘉盛华庭,低楼层,2008,2,2,104.41,100,9578
雨花,泊爱蓝湾两房 南北通透 近地铁近医院,泊爱蓝湾,低楼层,2013,2,1,85.86,96.8,11275
雨花,树木岭 2020年交付小区 人车分流 不临街毛坯房 可看房,保利大都汇,高楼层,,5,2,143.84,177,12306
雨花,湘府路 长房南屏锦源精装3房 业主自住装修 诚心出售,长房南屏锦源,高楼层,2013,3,2,89.55,88,9827
雨花,树木岭 自住两居 采光视野无遮挡 满五唯一,天凯东苑,低楼层,,2,2,86.8,68.8,7927
雨花,圭塘河边~地铁口带装修燃气+朝南阳光好,万坤图财富广场,高楼层,2014,1,1,61.26,60,9795
雨花,满五唯一，居家自住装修，房东外地发展，诚意出售,阳光城尚东湾青云苑,中楼层,,3,2,104.8,129,12310
雨花,雨花区武广新城植物园全新精装三房诚意出售,翡翠云天,低楼层,,3,1,98.95,86,8692
雨花,位置安静居家好房，看房方便，满五唯一,嘉盛华庭,低楼层,2008,3,2,138.21,135,9768
雨花,新芙蓉之都佳苑 1室0厅 南,新芙蓉之都佳苑,高楼层,2008,1,0,53.55,46,8591
雨花,中南院单位房，公摊小得房率高，小区环境好,中南家园西区,高楼层,,2,1,53.68,36.5,6800
雨花,树木岭正规两房，小区环境好，宜居家,中江佳境天成,高楼层,2010,2,1,54.21,54.5,10054
雨花,大5房 得房高 绿化高 物业好 环境好,碧桂园南城首府,中楼层,,4,2,201.73,184.8,9161
雨花,大5房 大平层 2梯2户 得房高 绿化好 物业好 环境好,碧桂园南城首府,低楼层,,4,2,201.0,168,8359
雨花,汽车南站业主自住装修电梯小三房.,鄱阳小区,低楼层,,3,2,91.51,72.8,7956
雨花,阳光锦城3房户型周正+80平大露台,阳光锦城,低楼层,2013,3,1,111.83,195,17438
雨花,德思勤喜盈门，公务员次新小区，清水毛坯,丰升德润,中楼层,,4,2,155.57,195,12535
雨花,次次次次新，交房不到两年，精装好楼层价格便宜,万科魅力之城,中楼层,,3,2,101.56,137.5,13539
雨花,价格好谈 次新楼盘 精装三房 满五唯一 长郡雨外,绿地新都会,高楼层,2015,3,2,104.31,98,9396
雨花,精装交付 全新未入住 中间楼层 诚心出售,万科魅力之城,中楼层,,4,2,126.0,203,16112
雨花,圭塘河 运达滨河广场 高桥南地铁5号线旁 精装大两房,华雅林语苑,中楼层,2014,2,1,99.25,129,12998
雨花,阳光城愉景苑，网签满四年，清水毛坯，中间楼层,阳光城愉景苑,中楼层,,3,2,120.69,119,9860
雨花,树木岭地铁三期拎包住小三房 通透户型砂子塘,新城新世界三期,低楼层,2013,3,2,91.0,118,12968
雨花,正地铁口精装修通透户型一梯两户小洋楼,万科金域华府,高楼层,2013,3,2,89.38,120,13426
雨花,墅区高层 视野开阔 南北通户型方正 产权清晰 诚心出售,长房半岛蓝湾二期,高楼层,,3,2,108.77,128,11768
雨花,南北通的四房看房方便有钥匙可省个税不靠高架,长房半岛蓝湾二期,中楼层,,4,2,167.59,178,10622
雨花,五矿万境园 花园洋房 朝小区里面 纯毛坯 四居室,五矿万境园,中楼层,2018,4,2,147.15,189.8,12899
雨花,新上房源 装修很好 满五唯一 地铁口 带燃气,欧亚达国际广场,中楼层,,1,1,36.32,33,9086
雨花,满五唯一 诚心卖 小区新楼层好 交通方便 地铁口,凯轩云顶,高楼层,2011,2,2,92.06,96.8,10515
雨花,广益旁 双地铁 采光好 中间楼层,嘉盛华庭,高楼层,2008,2,2,90.76,86,9476
雨花,武广板块，阳光城尚东湾，次新小区，挨着教育,阳光城蜜桃园,高楼层,,4,2,128.09,163.8,12788
雨花,拎包入住，4号线正地铁口，双书书近，交通方便,恒大绿洲,低楼层,2014,3,2,122.26,145,11860
雨花,雨花亭 地铁口 优质带燃气 独立厨房 三梯六户好房,三力公寓,高楼层,2014,1,0,53.5,47,8786
雨花,全新装修 2022年装修 户型板正 利用率高 拎包入住,半山壹号,低楼层,,2,2,90.69,127,14004
雨花,雨花亭精装3房 楼层好 采光好 户型佳,都市兰亭汇峰苑,中楼层,2013,3,2,113.67,121.8,10716
雨花,比亚迪 可孚旁品质小区 中高楼层视野无遮挡 南北对流,佳兆业水岸新都东区,高楼层,2012,3,1,89.38,62.8,7027
雨花,满五唯一，楼下就是四号线地铁，拎包入住 ，急售可谈,锦绣世纪,低楼层,2016,3,2,100.97,111.5,11043
雨花,雨花亭大三房 业主自住装修 拎包入住,华银园,中楼层,2007,3,2,131.28,135,10284
雨花,小区正中间洋房，东边户，精装，三面采光，享全天日照,融科檀香山,中楼层,,4,3,199.44,490,24569
雨花,河边栋，景观视野想相当好，四房,五矿万境水岸三期,高楼层,2016,4,2,128.0,228,17813
雨花,次新小区，万科物业，安静楼栋好楼层，精致三房出售,汇金城三期,中楼层,,3,2,107.63,140,13008
雨花,识字岭 湘雅附二 交通方便 配套成熟 业主诚心卖,湖南省人民医院宿舍,中楼层,,2,1,62.86,38,6046
雨花,龙吉湾小区 3室2厅 南,龙吉湾小区,中楼层,,3,2,95.07,72.8,7658
雨花,武广次新盘 刚需毛坯 中间好楼层 诚心出售,阳光城尚东湾蓝莓苑,中楼层,,3,2,96.28,109.8,11405
雨花,阳光城尚东湾青云苑精装三房 户型周正 园林小区采光好,阳光城尚东湾青云苑,高楼层,2018,3,2,92.77,114.9,12386
雨花,中间楼层，位于小区中间，业主诚心出售。,金轮星光名座,中楼层,,3,1,91.61,112,12226
雨花,4号地铁树木岭 两梯四户 不临街一房 环境好采光充足,新城新世界二期,低楼层,2013,1,1,43.37,51,11760
雨花,武广高铁新城 正地铁口 九年shu包 环境优美,明昇壹城,中楼层,2020,4,2,142.46,242,16988
雨花,央企品质 配套成熟 生活配套便利 物业好 次新小区,中建嘉和城,高楼层,,3,2,113.56,99.8,8789
雨花,小两房 自住装修 价格上可沟通,湘天贡院3期,低楼层,2013,2,1,48.0,32,6667
雨花,长沙大道地铁口直通房子 拎包入住 诚心出售 看房方便,运达中央广场,中楼层,2013,3,2,182.63,498,27269
雨花,井湾子户型周正，双卧室朝南，配套成熟，中间楼层,东方名都百草园,中楼层,2006,2,1,70.6,54.8,7763
雨花,次新小区，配套成熟，业主诚心出售，看房方便,阳光城愉景苑,低楼层,,3,2,116.74,120,10280
雨花,"雨花区政府旁，大3房,满五唯一。",香樟鑫都,中楼层,2014,3,2,137.0,150,10949
雨花,白沙苑 二楼 楼层好 看房方便物业好 停车方便,白沙苑,中楼层,2002,3,2,126.2,92,7291
雨花,次新小区 浏阳河 开阔2房 园林小区,阳光城尚东湾青云苑,低楼层,2018,2,1,68.02,75,11027
雨花,武广正地铁口公寓性质周正2房带天然气独立厨卫,恒大国际广场,中楼层,,2,1,67.36,60,8908
雨花,房子3楼精装，户型周正公摊小，房东诚心出售,新点苑,中楼层,2002,3,2,124.27,89,7162
雨花,清水毛坯，满五唯一，大三房，诚心出售,江河东澜湾,高楼层,2015,3,1,112.14,130,11593
雨花,出行方便，配套齐全，近地铁口，采光充足,正圆小区,高楼层,,2,1,59.29,35,5904
雨花,高桥西大门 二环内 财富时代 低楼层 房东自住装修,财富时代,中楼层,1998,3,2,117.78,85,7217
雨花,圭塘河旁三房户型周正 南北通透 带入户花园 中间楼层,鑫天御景湾二期,中楼层,2013,3,2,133.49,160,11986
雨花,中间楼层真洋房 低密品质小区人车分流 正地铁,明昇壹城,中楼层,,4,2,139.69,390,27919
雨花,次新校区，近地铁，毛坯两房，交通便利,金地格林公馆,中楼层,2017,2,2,79.46,88,11075
雨花,满五唯一，自住装修，楼下地铁口，诚心出售,锦湘国际星城三期,中楼层,2008,2,2,89.07,88,9880
雨花,急售1梯1户满五唯一万科物业次新小区中间楼层随时看房,阳光城尚东湾青云苑,高楼层,2017,3,2,107.3,119.5,11137
雨花,业主诚心出售，价格好谈，带车位,锦绣世纪,中楼层,2011,3,2,135.12,161.8,11975
雨花,次新小区 五江天街 树木岭 雨花区政府 适合宜居,世茂璀璨天城,高楼层,,3,2,126.81,190,14984
雨花,山水洲城通透3房中间楼层看房方便青园友谊,鑫天山水洲城,高楼层,2007,3,2,135.04,140,10368
雨花,满五唯一，中高楼层 视野很好 装修9成新,中南国际眼镜城,高楼层,,4,2,130.86,120,9171
雨花,正规一室一厅，全屋智能，精装自主装修，忍痛出售,新城新世界四期柏樾,低楼层,,1,1,44.03,54,12265
雨花,首付少 在长沙安个家 楼层好 视野开阔,融科东南海,中楼层,2015,1,0,37.03,25,6752
雨花,次新大三房，通透户型，急急急急急,中建璟和城,中楼层,2019,3,2,115.72,136,11753
雨花,业主诚心急售，次新小区，纯毛坯，宜居舒适,长房半岛蓝湾二期,低楼层,2018,3,2,111.4,105,9426
雨花,德思勤圭塘河旁，满五唯一可省个税2个点，自住装修,华悦城,中楼层,2013,3,2,101.04,112,11085
雨花,百年雅礼为邻 双地铁 东塘 华都 一梯两户纯板楼 诚售,建鸿达华都,低楼层,2009,3,2,151.67,300,19780
雨花,国际湘小高层中间楼栋7楼南北双阳台三房两卫采光好,茂华国际湘,中楼层,2013,3,2,120.52,129.8,10770
雨花,视野开阔，2/4号线双地铁口，枫树山明昇，保利mall,星城映象,高楼层,2010,2,2,79.75,85,10659
雨花,视野开阔，无遮挡，采光很好，交通便利，配套设施齐全,绿地之窗,高楼层,,4,2,118.47,130.5,11016
雨花,万科品牌物业， 小区环境好，配套成熟,万科金域华府,高楼层,,3,2,96.92,128,13207
雨花,央企楼盘 小区人车分流 全新精装 可拎包入住,中建嘉和城,低楼层,,3,2,111.81,142,12701
雨花,小区自带大型露天游泳池 草坪 沙滩,融科东南海,低楼层,2013,2,2,77.0,86,11169
雨花,此房户型好，省植物园公园里面，空气清晰，闹中取静,植物原著,中楼层,,4,2,133.99,156.8,11703
雨花,金房万树丹堤标准一室一厅带天然气出售,金房万树丹堤,高楼层,2011,2,1,61.86,55,8892
雨花,德思勤商圈人车分流带幼儿园小区，正规三房诚心出售,嘉福长安郡,低楼层,2012,3,2,88.75,90,10141
雨花,紫金苑三房 业主诚意出售 梓园路,紫金苑,高楼层,2007,3,2,149.53,208.8,13964
雨花,翡翠云天 刚需小三房 自住精装 拎包入住,翡翠云天,高楼层,,3,2,100.54,90.8,9032
雨花,中天瑞景 3室2厅 南,中天瑞景,低楼层,,3,2,146.16,150,10263
雨花,信和苑三区 中间楼层两房 居家两房 采光好 诚心出售,信和苑三区,中楼层,2004,2,1,67.5,46.8,6934
雨花,南北通透，满五，总价低，带家具家电出售,融城花苑,高楼层,2003,3,2,96.16,59.8,6219
雨花,武广18年次新小区，2/4号线双地铁口，下楼即公园,半山壹号,高楼层,,3,2,118.38,152,12841
雨花,全屋智能家居+兔宝宝定制柜+20万装修拎包入住,万科魅力之城,低楼层,2020,3,2,97.68,137,14026
雨花,德思勤商圈，精装周正大三房，诚意出售,绿荫家园,中楼层,2004,3,2,117.97,82.8,7019
雨花,保利大都会二期优质四房二厅二卫,保利大都汇,高楼层,,4,2,119.26,164,13752
雨花,中低楼层简装只卖毛坯价格视野无遮挡,中城丽景香山,低楼层,2012,2,1,91.22,87.6,9604
雨花,万科非凡里三房，自住装修，价格可谈，砂子塘南雅双语,万科魅力之城,低楼层,2014,3,2,99.68,126,12641
雨花,长沙大道正地铁口，居家精装2房 户型周正 中间楼层,嘉宇盛世华章,中楼层,2010,2,1,90.07,106,11769
雨花,高档小区+人车分流+3.6号正地铁+可拎包入住,融圣国际,低楼层,2009,3,2,121.9,150,12306
雨花,四房 实际面积大 中间楼层复式 不靠马路,湘天贡院3期,中楼层,,4,2,107.46,110,10237
雨花,阳光城愉景苑三房清水毛坯，靠浏阳河风光带,阳光城愉景苑,高楼层,,3,2,96.47,115,11921
雨花,绿地新都会 3室2厅 南,绿地新都会,中楼层,,3,2,102.0,91.8,9000
雨花,21年交付次新楼盘，户型周正，采光好。,阳光城尚东湾,中楼层,2021,3,2,95.63,115,12026
雨花,京武安静位置大四房 清水毛坯未入住 视野无遮挡,京武浪琴山一期,低楼层,2015,4,2,274.27,650,23700
雨花,中间楼层 视野开阔 诚心出售 出价就谈,合能枫丹丽舍,高楼层,2018,3,2,100.46,111,11050
雨花,鄱阳小区精装三房，近地铁七号线 天虹商场,鄱阳小区,高楼层,2006,3,1,89.0,56.5,6349
雨花,万科新装修 带地暖 大三房 看圭塘河,万科金域华府,高楼层,2013,3,2,89.6,135,15067
雨花,天虹旁 次新小区 好户型 拎包入住,卓越蔚蓝城邦,低楼层,2018,3,2,112.0,112,10000
雨花,雨花亭，大四房，已加电梯房，住家装修，可以拎包入住,金地社区,中楼层,2008,4,2,148.63,135,9083
雨花,左家塘 桂花二村 满五唯一 中间楼层 明厨明卫,桂花社区,中楼层,1996,2,1,62.69,45,7179
雨花,税务局，大三房，带电梯，带车位，免物业，带30平露台,国税五分局桔园宿舍,低楼层,,3,2,98.72,106,10738
雨花,香樟路 湘樟园 2房2厅 满是绿色植物的小区,湘樟园,中楼层,2004,2,2,89.93,62.6,6961
雨花,东南海精装大四房，户型周正，景观楼层，业主诚心出售,融科东南海,中楼层,2012,4,2,146.03,200,13696
雨花,新上房源，经典毛坯房！业主诚心出售，看房方便！,丽发新城,高楼层,,4,1,130.42,99.8,7653
雨花,地铁口 一房出售，小区配套成熟，出行方便，无遮挡,香颂国际,低楼层,2009,1,1,46.52,26.8,5761
雨花,房子满五唯一，居家装修，中间楼层采光好 近地铁口,红星嘉和苑,低楼层,,3,2,95.66,115,12022
雨花,16年次新小区 视野开阔 住家精装 ......,南城印象,中楼层,2016,4,2,113.64,140.5,12364
